0.0625,0.25,0.375,0.25,0.0625
0.0256,0.1536,0.3456,0.3456,0.1296
0.0016,0.0256,0.1536,0.4096,0.4096
0.0256,0.1536,0.3456,0.3456,0.1296
0.0625,0.25,0.375,0.25,0.0625
0.0256,0.1536,0.3456,0.3456,0.1296
0.0256,0.1536,0.3456,0.3456,0.1296
0.0256,0.1536,0.3456,0.3456,0.1296
0.0625,0.25,0.375,0.25,0.0625
0.2401,0.4116,0.2646,0.0756,0.0081
0.2401,0.4116,0.2646,0.0756,0.0081
0.0256,0.1536,0.3456,0.3456,0.1296
0.0016,0.0256,0.1536,0.4096,0.4096
0.0625,0.25,0.375,0.25,0.0625
0.4096,0.4096,0.1536,0.0256,0.0016
0.0256,0.1536,0.3456,0.3456,0.1296
0.0256,0.1536,0.3456,0.3456,0.1296
0.0625,0.25,0.375,0.25,0.0625
0.0081,0.0756,0.2646,0.4116,0.2401
0.0625,0.25,0.375,0.25,0.0625
0.0625,0.25,0.375,0.25,0.0625
0.0256,0.1536,0.3456,0.3456,0.1296
0.2401,0.4116,0.2646,0.0756,0.0081
0.0081,0.0756,0.2646,0.4116,0.2401
0.2401,0.4116,0.2646,0.0756,0.0081
0.0256,0.1536,0.3456,0.3456,0.1296
0.0625,0.25,0.375,0.25,0.0625
0.2401,0.4116,0.2646,0.0756,0.0081
0.0016,0.0256,0.1536,0.4096,0.4096
0.0256,0.1536,0.3456,0.3456,0.1296
0.0256,0.1536,0.3456,0.3456,0.1296
0.0256,0.1536,0.3456,0.3456,0.1296
0.2401,0.4116,0.2646,0.0756,0.0081
0.0256,0.1536,0.3456,0.3456,0.1296
0.2401,0.4116,0.2646,0.0756,0.0081
0.0625,0.25,0.375,0.25,0.0625
0.0016,0.0256,0.1536,0.4096,0.4096
0.0625,0.25,0.375,0.25,0.0625
0.4096,0.4096,0.1536,0.0256,0.0016
0.0256,0.1536,0.3456,0.3456,0.1296
